SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 1/22/2015
TIME: 4:31 PM

STIMULUS, RESPONSE
 8.902000E+9,   4.950E-1
 8.902100E+9,   4.945E-1
 8.902200E+9,   4.905E-1
 8.902300E+9,   4.860E-1
 8.902400E+9,   4.979E-1
 8.902500E+9,   4.989E-1
 8.902600E+9,   4.955E-1
 8.902700E+9,   4.969E-1
 8.902800E+9,   4.984E-1
 8.902900E+9,   4.945E-1
 8.903000E+9,   4.979E-1
 8.903100E+9,   4.974E-1
 8.903200E+9,   4.945E-1
 8.903300E+9,   4.974E-1
 8.903400E+9,   4.959E-1
 8.903500E+9,   4.979E-1
 8.903600E+9,   4.959E-1
 8.903700E+9,   4.964E-1
 8.903800E+9,   4.969E-1
 8.903900E+9,   4.969E-1
 8.904000E+9,   4.969E-1
 8.904100E+9,   4.959E-1
 8.904200E+9,   4.964E-1
 8.904300E+9,   4.979E-1
 8.904400E+9,   4.950E-1
 8.904500E+9,   4.969E-1
 8.904600E+9,   4.974E-1
 8.904700E+9,   4.945E-1
 8.904800E+9,   4.984E-1
 8.904900E+9,   4.974E-1
 8.905000E+9,   4.974E-1
 8.905100E+9,   4.969E-1
 8.905200E+9,   4.950E-1
 8.905300E+9,   4.964E-1
 8.905400E+9,   4.964E-1
 8.905500E+9,   4.959E-1
 8.905600E+9,   4.959E-1
 8.905700E+9,   4.979E-1
 8.905800E+9,   4.969E-1
 8.905900E+9,   4.959E-1
 8.906000E+9,   4.979E-1
 8.906100E+9,   4.974E-1
 8.906200E+9,   4.964E-1
 8.906300E+9,   4.984E-1
 8.906400E+9,   4.979E-1
 8.906500E+9,   4.959E-1
 8.906600E+9,   4.969E-1
 8.906700E+9,   4.979E-1
 8.906800E+9,   4.964E-1
 8.906900E+9,   4.955E-1
 8.907000E+9,   4.964E-1
 8.907100E+9,   4.959E-1
 8.907200E+9,   4.950E-1
 8.907300E+9,   4.984E-1
 8.907400E+9,   4.974E-1
 8.907500E+9,   4.959E-1
 8.907600E+9,   4.964E-1
 8.907700E+9,   4.955E-1
 8.907800E+9,   4.969E-1
 8.907900E+9,   4.979E-1
 8.908000E+9,   4.945E-1
 8.908100E+9,   4.969E-1
 8.908200E+9,   4.959E-1
 8.908300E+9,   4.950E-1
 8.908400E+9,   4.984E-1
 8.908500E+9,   4.964E-1
 8.908600E+9,   4.964E-1
 8.908700E+9,   4.925E-1
 8.908800E+9,   4.964E-1
 8.908900E+9,   4.984E-1
 8.909000E+9,   4.959E-1
 8.909100E+9,   4.984E-1
 8.909200E+9,   4.964E-1
 8.909300E+9,   4.964E-1
 8.909400E+9,   4.969E-1
 8.909500E+9,   4.959E-1
 8.909600E+9,   4.964E-1
 8.909700E+9,   4.969E-1
 8.909800E+9,   4.979E-1
 8.909900E+9,   4.974E-1
 8.910000E+9,   4.974E-1
 8.910100E+9,   4.964E-1
 8.910200E+9,   4.959E-1
 8.910300E+9,   4.964E-1
 8.910400E+9,   4.959E-1
 8.910500E+9,   4.959E-1
 8.910600E+9,   4.969E-1
 8.910700E+9,   4.964E-1
 8.910800E+9,   4.959E-1
 8.910900E+9,   4.959E-1
 8.911000E+9,   4.964E-1
 8.911100E+9,   4.875E-1
 8.911200E+9,   4.964E-1
 8.911300E+9,   4.964E-1
 8.911400E+9,   4.950E-1
 8.911500E+9,   4.940E-1
 8.911600E+9,   4.959E-1
 8.911700E+9,   4.905E-1
 8.911800E+9,   4.959E-1
 8.911900E+9,   4.969E-1
 8.912000E+9,   4.945E-1
 8.912100E+9,   4.955E-1
 8.912200E+9,   4.969E-1
 8.912300E+9,   4.964E-1
 8.912400E+9,   4.969E-1
 8.912500E+9,   4.950E-1
 8.912600E+9,   4.964E-1
 8.912700E+9,   4.959E-1
 8.912800E+9,   4.959E-1
 8.912900E+9,   4.955E-1
 8.913000E+9,   4.964E-1
 8.913100E+9,   4.959E-1
 8.913200E+9,   4.950E-1
 8.913300E+9,   4.955E-1
 8.913400E+9,   4.969E-1
 8.913500E+9,   4.940E-1
 8.913600E+9,   4.950E-1
 8.913700E+9,   4.950E-1
 8.913800E+9,   4.974E-1
 8.913900E+9,   4.950E-1
 8.914000E+9,   4.959E-1
 8.914100E+9,   4.955E-1
 8.914200E+9,   4.959E-1
 8.914300E+9,   4.945E-1
 8.914400E+9,   4.935E-1
 8.914500E+9,   4.945E-1
 8.914600E+9,   4.950E-1
 8.914700E+9,   4.950E-1
 8.914800E+9,   4.950E-1
 8.914900E+9,   4.940E-1
 8.915000E+9,   4.950E-1
 8.915100E+9,   4.925E-1
 8.915200E+9,   4.945E-1
 8.915300E+9,   4.940E-1
 8.915400E+9,   4.955E-1
 8.915500E+9,   4.935E-1
 8.915600E+9,   4.945E-1
 8.915700E+9,   4.945E-1
 8.915800E+9,   4.930E-1
 8.915900E+9,   4.940E-1
 8.916000E+9,   4.930E-1
 8.916100E+9,   4.950E-1
 8.916200E+9,   4.935E-1
 8.916300E+9,   4.930E-1
 8.916400E+9,   4.935E-1
 8.916500E+9,   4.940E-1
 8.916600E+9,   4.935E-1
 8.916700E+9,   4.930E-1
 8.916800E+9,   4.910E-1
 8.916900E+9,   4.950E-1
 8.917000E+9,   4.925E-1
 8.917100E+9,   4.920E-1
 8.917200E+9,   4.920E-1
 8.917300E+9,   4.950E-1
 8.917400E+9,   4.925E-1
 8.917500E+9,   4.930E-1
 8.917600E+9,   4.930E-1
 8.917700E+9,   4.925E-1
 8.917800E+9,   4.940E-1
 8.917900E+9,   4.945E-1
 8.918000E+9,   4.935E-1
 8.918100E+9,   4.935E-1
 8.918200E+9,   4.910E-1
 8.918300E+9,   4.925E-1
 8.918400E+9,   4.925E-1
 8.918500E+9,   4.925E-1
 8.918600E+9,   4.915E-1
 8.918700E+9,   4.930E-1
