SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 3/13/2015
TIME: 12:04 PM

STIMULUS, RESPONSE
 8.918000E+9,   4.586E-1
 8.918100E+9,   4.591E-1
 8.918200E+9,   4.617E-1
 8.918300E+9,   4.638E-1
 8.918400E+9,   4.648E-1
 8.918500E+9,   4.643E-1
 8.918600E+9,   4.643E-1
 8.918700E+9,   4.623E-1
 8.918800E+9,   4.623E-1
 8.918900E+9,   4.586E-1
 8.919000E+9,   4.628E-1
 8.919100E+9,   4.633E-1
 8.919200E+9,   4.602E-1
 8.919300E+9,   4.628E-1
 8.919400E+9,   4.623E-1
 8.919500E+9,   4.633E-1
 8.919600E+9,   4.617E-1
 8.919700E+9,   4.612E-1
 8.919800E+9,   4.628E-1
 8.919900E+9,   4.623E-1
 8.920000E+9,   4.607E-1
 8.920100E+9,   4.612E-1
 8.920200E+9,   4.633E-1
 8.920300E+9,   4.617E-1
 8.920400E+9,   4.617E-1
 8.920500E+9,   4.607E-1
 8.920600E+9,   4.623E-1
 8.920700E+9,   4.633E-1
 8.920800E+9,   4.633E-1
 8.920900E+9,   4.612E-1
 8.921000E+9,   4.612E-1
 8.921100E+9,   4.633E-1
 8.921200E+9,   4.617E-1
 8.921300E+9,   4.628E-1
 8.921400E+9,   4.638E-1
 8.921500E+9,   4.643E-1
 8.921600E+9,   4.623E-1
 8.921700E+9,   4.623E-1
 8.921800E+9,   4.628E-1
 8.921900E+9,   4.628E-1
 8.922000E+9,   4.638E-1
 8.922100E+9,   4.628E-1
 8.922200E+9,   4.643E-1
 8.922300E+9,   4.638E-1
 8.922400E+9,   4.617E-1
 8.922500E+9,   4.623E-1
 8.922600E+9,   4.638E-1
 8.922700E+9,   4.628E-1
 8.922800E+9,   4.638E-1
 8.922900E+9,   4.628E-1
 8.923000E+9,   4.643E-1
 8.923100E+9,   4.648E-1
 8.923200E+9,   4.638E-1
 8.923300E+9,   4.648E-1
 8.923400E+9,   4.628E-1
 8.923500E+9,   4.643E-1
 8.923600E+9,   4.617E-1
 8.923700E+9,   4.638E-1
 8.923800E+9,   4.623E-1
 8.923900E+9,   4.633E-1
 8.924000E+9,   4.648E-1
 8.924100E+9,   4.628E-1
 8.924200E+9,   4.643E-1
 8.924300E+9,   4.659E-1
 8.924400E+9,   4.633E-1
 8.924500E+9,   4.654E-1
 8.924600E+9,   4.643E-1
 8.924700E+9,   4.638E-1
 8.924800E+9,   4.633E-1
 8.924900E+9,   4.638E-1
 8.925000E+9,   4.633E-1
 8.925100E+9,   4.638E-1
 8.925200E+9,   4.638E-1
 8.925300E+9,   4.633E-1
 8.925400E+9,   4.628E-1
 8.925500E+9,   4.638E-1
 8.925600E+9,   4.633E-1
 8.925700E+9,   4.648E-1
 8.925800E+9,   4.633E-1
 8.925900E+9,   4.638E-1
 8.926000E+9,   4.638E-1
 8.926100E+9,   4.633E-1
 8.926200E+9,   4.638E-1
 8.926300E+9,   4.633E-1
 8.926400E+9,   4.654E-1
 8.926500E+9,   4.638E-1
 8.926600E+9,   4.643E-1
 8.926700E+9,   4.638E-1
 8.926800E+9,   4.643E-1
 8.926900E+9,   4.638E-1
 8.927000E+9,   4.638E-1
 8.927100E+9,   4.633E-1
 8.927200E+9,   4.638E-1
 8.927300E+9,   4.633E-1
 8.927400E+9,   4.643E-1
 8.927500E+9,   4.633E-1
 8.927600E+9,   4.643E-1
 8.927700E+9,   4.654E-1
 8.927800E+9,   4.638E-1
 8.927900E+9,   4.633E-1
 8.928000E+9,   4.586E-1
 8.928100E+9,   4.648E-1
 8.928200E+9,   4.643E-1
 8.928300E+9,   4.638E-1
 8.928400E+9,   4.654E-1
 8.928500E+9,   4.628E-1
 8.928600E+9,   4.581E-1
 8.928700E+9,   4.638E-1
 8.928800E+9,   4.638E-1
 8.928900E+9,   4.633E-1
 8.929000E+9,   4.633E-1
 8.929100E+9,   4.633E-1
 8.929200E+9,   4.648E-1
 8.929300E+9,   4.633E-1
 8.929400E+9,   4.659E-1
 8.929500E+9,   4.643E-1
 8.929600E+9,   4.633E-1
 8.929700E+9,   4.638E-1
 8.929800E+9,   4.654E-1
 8.929900E+9,   4.659E-1
 8.930000E+9,   4.638E-1
 8.930100E+9,   4.638E-1
 8.930200E+9,   4.638E-1
 8.930300E+9,   4.633E-1
 8.930400E+9,   4.638E-1
 8.930500E+9,   4.633E-1
 8.930600E+9,   4.638E-1
 8.930700E+9,   4.638E-1
 8.930800E+9,   4.654E-1
 8.930900E+9,   4.633E-1
 8.931000E+9,   4.638E-1
 8.931100E+9,   4.638E-1
 8.931200E+9,   4.643E-1
 8.931300E+9,   4.628E-1
 8.931400E+9,   4.633E-1
 8.931500E+9,   4.643E-1
 8.931600E+9,   4.628E-1
 8.931700E+9,   4.633E-1
 8.931800E+9,   4.643E-1
 8.931900E+9,   4.633E-1
 8.932000E+9,   4.633E-1
 8.932100E+9,   4.638E-1
 8.932200E+9,   4.628E-1
 8.932300E+9,   4.638E-1
 8.932400E+9,   4.648E-1
 8.932500E+9,   4.633E-1
 8.932600E+9,   4.643E-1
 8.932700E+9,   4.638E-1
 8.932800E+9,   4.628E-1
 8.932900E+9,   4.638E-1
 8.933000E+9,   4.633E-1
 8.933100E+9,   4.638E-1
 8.933200E+9,   4.643E-1
 8.933300E+9,   4.638E-1
 8.933400E+9,   4.581E-1
 8.933500E+9,   4.633E-1
 8.933600E+9,   4.633E-1
 8.933700E+9,   4.617E-1
 8.933800E+9,   4.633E-1
 8.933900E+9,   4.643E-1
 8.934000E+9,   4.648E-1
 8.934100E+9,   4.638E-1
 8.934200E+9,   4.648E-1
 8.934300E+9,   4.638E-1
 8.934400E+9,   4.628E-1
 8.934500E+9,   4.633E-1
 8.934600E+9,   4.628E-1
 8.934700E+9,   4.633E-1
 8.934800E+9,   4.638E-1
 8.934900E+9,   4.628E-1
 8.935000E+9,   4.628E-1
 8.935100E+9,   4.633E-1
 8.935200E+9,   4.638E-1
 8.935300E+9,   4.633E-1
 8.935400E+9,   4.643E-1
 8.935500E+9,   4.643E-1
 8.935600E+9,   4.643E-1
